F3,F2,F1,Class
False,True,False,No
True,True,False,No
False,True,True,Yes
False,False,True,No
False,False,True,Yes
False,False,False,Yes
True,True,True,No
False,False,True,Yes
True,False,True,Yes
False,True,True,Yes
False,False,True,Yes
True,False,True,No
False,True,True,No
False,False,True,Yes
True,False,True,Yes
False,True,True,No
False,False,True,Yes
False,True,False,No
False,False,True,Yes
False,False,True,Yes
True,False,True,No
True,True,True,No
True,True,False,No
False,False,False,Yes
False,False,False,No
False,False,False,No
True,True,True,Yes
True,True,True,Yes
False,False,True,Yes
False,False,True,Yes
False,True,True,Yes
True,True,False,No
False,False,False,No
False,False,True,Yes
False,True,False,Yes
True,False,False,Yes
True,True,False,Yes
False,False,True,Yes
False,True,False,Yes
True,True,True,Yes
True,False,False,Yes
False,True,False,No
False,False,True,Yes
True,True,True,Yes
False,True,False,No
False,False,True,Yes
False,False,True,Yes
False,False,False,Yes
False,False,True,Yes
False,True,True,No
False,True,False,No
False,True,True,No
True,False,False,Yes
True,True,False,No
True,False,True,No
True,True,False,No
False,True,False,No
True,False,True,Yes
False,True,True,No
False,False,True,Yes
True,True,False,No
False,True,False,No
True,False,False,No
True,False,False,Yes
False,False,True,No
False,False,False,No
True,True,True,Yes
False,True,False,Yes
False,False,False,No
False,False,True,Yes
False,False,True,Yes
False,True,False,No
False,True,True,No
False,False,False,Yes
True,True,False,No
True,False,True,Yes
False,False,True,Yes
False,True,False,No
False,True,True,No
True,False,True,No
True,True,True,Yes
False,False,True,Yes
False,True,True,No
False,True,False,No
False,True,False,Yes
True,True,False,Yes
True,False,True,Yes
False,True,True,Yes
False,True,True,Yes
False,True,False,No
True,False,True,No
False,True,False,No
False,True,True,Yes
True,False,True,Yes
True,True,True,No
False,True,False,Yes
False,True,True,No
True,True,True,Yes
False,True,False,No
True,True,False,No
