F4,F3,F2,F1,Class
True,False,True,True,No
True,True,False,True,Yes
False,False,True,False,No
True,True,False,True,No
True,True,True,True,No
True,False,True,True,No
False,True,True,False,No
False,True,True,False,No
False,False,True,False,No
True,True,True,True,No
False,False,True,False,No
False,False,False,False,No
True,False,True,True,Yes
True,False,True,True,Yes
True,False,False,True,Yes
False,True,False,False,Yes
True,False,True,True,No
False,True,True,False,Yes
False,True,False,False,No
True,False,True,True,No
False,False,False,False,No
False,True,True,False,No
True,True,False,True,Yes
False,False,False,False,Yes
True,True,False,True,Yes
True,False,False,True,Yes
False,True,True,False,No
True,True,False,True,Yes
False,True,True,False,No
True,False,False,True,Yes
False,True,True,False,No
True,False,False,True,Yes
False,True,True,False,Yes
True,True,True,True,Yes
False,True,True,False,No
True,False,True,True,Yes
False,True,False,False,No
True,False,False,True,Yes
True,False,False,True,Yes
True,True,True,True,No
True,False,True,True,No
False,True,False,True,Yes
False,False,False,False,No
True,True,False,True,Yes
True,False,False,True,Yes
False,False,False,False,Yes
False,False,True,False,Yes
False,False,True,False,No
False,False,False,False,Yes
False,False,True,False,No
False,False,True,False,No
False,False,True,False,No
True,True,True,True,No
True,False,False,True,Yes
False,True,False,False,Yes
True,False,True,True,Yes
True,False,True,True,Yes
True,True,False,True,Yes
False,False,False,False,Yes
False,True,True,False,No
True,False,True,True,Yes
True,False,False,True,Yes
False,False,True,False,No
False,True,False,True,Yes
True,False,True,True,No
False,False,True,False,No
False,True,True,False,No
False,True,False,False,No
True,False,True,True,Yes
False,False,True,False,No
False,False,True,False,No
False,False,True,False,No
False,False,True,False,No
True,True,False,True,Yes
True,False,False,True,Yes
True,True,False,True,Yes
True,True,False,True,Yes
False,True,True,False,No
True,False,False,True,Yes
False,False,True,False,No
True,False,True,True,Yes
True,False,True,True,No
True,False,True,True,No
False,True,True,True,Yes
False,True,False,False,No
False,False,False,False,No
False,True,False,False,Yes
True,True,True,True,Yes
True,False,True,True,Yes
True,True,False,True,No
False,False,True,False,No
False,False,False,False,No
True,False,False,True,Yes
True,False,False,True,Yes
False,True,False,False,No
False,True,False,False,No
False,True,True,False,No
False,True,False,False,Yes
False,False,False,False,No
True,False,True,True,Yes
True,False,False,True,Yes
True,True,False,True,Yes
True,True,False,True,Yes
False,False,True,True,Yes
False,True,True,False,Yes
True,True,True,True,Yes
True,False,False,True,Yes
True,True,False,True,Yes
True,True,False,True,Yes
False,False,True,False,No
False,False,False,False,No
False,True,False,False,No
True,False,True,True,Yes
False,False,True,False,No
False,False,False,False,Yes
False,True,True,False,No
True,True,False,True,Yes
True,True,False,True,Yes
True,False,False,True,Yes
True,False,False,True,Yes
False,True,True,False,No
True,False,True,True,Yes
False,True,True,False,No
True,False,False,True,Yes
False,True,False,False,No
False,False,False,False,No
False,False,True,False,No
False,False,True,False,No
False,False,True,False,No
False,False,True,False,No
False,False,True,False,Yes
True,True,False,True,Yes
False,False,True,False,No
False,True,True,False,No
False,True,True,False,No
True,True,True,True,Yes
False,False,True,False,No
False,False,True,False,No
False,True,True,False,No
True,False,False,False,Yes
False,False,False,False,No
False,False,False,False,No
True,False,False,True,Yes
False,False,True,False,No
False,True,False,False,No
True,False,False,True,Yes
False,False,False,False,No
True,False,False,True,Yes
True,False,True,True,Yes
True,False,False,False,No
True,False,False,True,Yes
True,False,False,False,No
True,False,True,True,Yes
False,True,True,False,No
False,False,True,False,No
True,True,True,True,Yes
False,True,True,False,No
True,True,True,True,Yes
True,False,False,True,Yes
False,False,False,False,Yes
True,False,True,True,Yes
True,True,False,False,No
True,False,False,True,Yes
False,False,True,False,No
True,False,False,True,Yes
True,True,True,True,Yes
True,False,False,True,Yes
True,True,False,True,Yes
False,True,True,False,No
True,True,False,True,Yes
True,False,True,True,Yes
False,False,False,False,No
False,False,True,False,No
True,False,False,True,Yes
False,True,True,False,No
False,True,False,False,No
True,False,False,True,No
True,True,False,True,Yes
False,True,False,False,Yes
False,False,True,False,No
True,True,False,True,Yes
True,True,False,True,Yes
False,True,True,False,No
True,False,True,True,Yes
True,False,False,True,Yes
True,True,True,True,Yes
True,False,False,True,Yes
True,True,True,True,Yes
False,False,True,False,No
True,True,False,True,Yes
False,True,True,False,Yes
True,True,False,True,Yes
True,True,True,True,No
True,False,True,True,Yes
True,False,True,True,No
True,True,False,True,Yes
True,True,False,True,Yes
False,False,True,False,No
True,True,False,True,Yes
False,True,True,False,No
True,False,False,True,Yes
False,False,True,False,No
False,False,True,False,No
True,True,False,True,Yes
False,True,True,False,No
True,False,False,True,Yes
False,True,False,False,No
False,False,True,False,No
True,True,False,True,Yes
False,False,False,False,No
False,False,False,True,Yes
False,False,True,False,No
True,False,True,True,Yes
False,False,True,False,No
False,False,False,False,No
True,True,True,True,Yes
True,False,False,True,Yes
False,True,True,False,No
False,True,False,False,Yes
True,False,False,True,Yes
True,False,False,True,Yes
True,False,True,True,Yes
False,False,False,False,No
False,False,False,False,Yes
False,True,True,False,No
True,True,True,True,No
False,True,False,False,No
False,False,True,False,Yes
True,False,False,True,Yes
False,False,False,False,Yes
False,True,True,False,No
True,False,False,True,Yes
True,True,False,True,Yes
True,True,False,True,Yes
True,False,True,True,Yes
False,False,True,False,No
False,False,False,False,No
True,False,False,True,Yes
False,True,True,False,Yes
True,False,True,True,Yes
False,False,False,False,No
True,False,False,True,Yes
False,False,True,False,No
False,False,False,False,No
True,False,False,True,Yes
True,False,False,True,Yes
False,True,True,False,No
False,False,False,True,Yes
True,True,False,True,Yes
True,False,False,True,Yes
False,False,True,False,Yes
False,False,False,False,No
True,False,False,True,Yes
False,False,False,False,Yes
False,False,False,False,No
False,False,True,False,No
False,False,True,False,No
True,False,False,True,Yes
True,True,False,True,Yes
True,False,False,True,Yes
False,True,True,False,No
True,False,True,True,Yes
True,True,False,True,Yes
True,False,False,True,Yes
True,False,True,True,Yes
False,True,False,True,Yes
False,True,True,False,No
True,True,False,True,Yes
False,False,True,True,No
False,False,False,False,No
False,True,True,False,No
False,False,True,False,No
False,True,True,False,No
False,True,True,False,No
True,False,False,True,Yes
False,True,True,False,No
True,True,True,True,Yes
False,True,True,False,No
True,False,False,True,Yes
True,False,False,True,Yes
True,False,False,True,No
True,False,True,True,No
True,True,True,True,Yes
False,False,True,False,No
True,False,True,True,Yes
False,False,True,False,No
False,False,True,False,No
True,True,True,True,Yes
True,True,True,False,No
False,False,False,False,No
True,False,False,True,Yes
True,False,True,True,No
True,True,False,True,Yes
False,False,True,False,No
False,True,True,False,No
True,False,False,True,Yes
True,False,False,True,Yes
False,True,True,False,No
False,False,False,False,Yes
False,True,True,False,No
False,True,False,True,Yes
True,False,False,True,Yes
True,False,False,True,Yes
False,False,False,False,No
True,False,False,True,Yes
True,False,True,True,Yes
True,True,True,True,Yes
False,True,True,False,No
False,False,True,False,Yes
True,True,True,True,Yes
True,False,False,True,Yes
False,False,True,False,No
True,True,False,True,Yes
True,False,False,True,Yes
True,False,False,True,Yes
True,True,True,True,No
False,False,False,False,No
False,False,True,False,No
False,True,True,False,No
False,True,True,False,No
False,False,True,False,No
False,False,False,False,No
False,False,False,False,No
False,False,False,False,No
True,False,False,True,Yes
False,False,True,False,No
True,False,True,True,Yes
True,False,True,True,Yes
False,False,True,False,No
False,False,True,False,No
True,False,True,True,Yes
True,True,False,True,Yes
True,True,False,True,Yes
False,True,True,False,No
True,False,True,True,Yes
False,True,False,True,Yes
False,False,False,False,Yes
False,False,True,False,No
True,False,False,True,Yes
False,False,True,False,No
True,True,False,True,No
True,True,False,True,Yes
True,True,True,True,Yes
False,True,True,False,No
True,False,False,True,Yes
False,False,True,False,No
False,True,False,True,No
True,True,True,False,No
True,True,True,False,No
False,False,True,False,No
True,True,False,True,Yes
False,False,False,False,No
False,True,True,False,No
False,False,True,False,No
False,True,True,False,No
True,False,True,True,Yes
False,False,True,False,No
False,False,False,False,No
False,False,False,False,Yes
True,True,True,True,No
True,True,False,True,Yes
True,True,False,True,Yes
True,False,True,True,Yes
False,False,True,False,Yes
True,True,True,True,Yes
True,True,False,True,Yes
False,False,True,False,No
False,True,False,False,Yes
False,False,True,False,No
False,True,False,False,No
True,True,True,True,No
True,True,False,True,Yes
False,False,True,False,No
False,False,False,False,No
False,True,True,False,No
True,False,True,True,No
True,True,False,True,No
True,True,False,True,Yes
False,False,True,False,No
True,False,False,True,Yes
True,False,True,True,Yes
False,False,False,False,No
True,True,True,True,Yes
False,False,False,False,Yes
True,True,False,True,Yes
True,False,True,True,No
False,True,True,False,No
True,True,False,True,Yes
True,False,True,True,Yes
False,False,True,False,No
False,False,False,False,Yes
False,False,True,False,No
False,False,False,False,Yes
False,True,True,False,Yes
True,False,False,True,Yes
True,False,True,True,Yes
True,False,True,True,Yes
True,True,False,True,Yes
True,True,False,True,Yes
True,False,False,True,Yes
True,False,True,False,No
False,False,False,False,No
True,False,False,True,Yes
True,True,True,True,No
True,True,True,True,Yes
False,False,True,False,No
False,False,True,False,No
False,False,False,False,Yes
False,False,True,False,No
False,False,False,True,Yes
False,False,False,False,No
True,False,True,True,No
True,False,True,True,Yes
True,True,False,True,No
True,True,True,True,Yes
True,False,False,True,Yes
True,False,True,True,Yes
False,True,False,False,No
True,True,True,True,Yes
False,False,False,False,No
True,False,False,True,No
False,False,True,False,No
True,True,False,True,Yes
False,False,True,False,No
False,False,True,False,No
False,False,False,False,No
True,False,True,True,No
False,False,False,False,No
False,False,True,False,No
True,True,True,True,Yes
False,False,True,False,No
False,False,False,False,No
False,False,True,False,No
True,False,True,True,Yes
True,True,False,True,Yes
False,True,False,False,Yes
False,False,False,False,No
True,False,False,True,Yes
True,True,False,True,Yes
False,True,True,False,No
True,False,False,True,Yes
True,False,False,True,Yes
False,False,True,False,No
False,True,True,False,No
True,True,False,True,Yes
False,False,True,False,No
False,True,True,False,No
True,True,False,True,Yes
True,False,False,True,Yes
False,True,False,False,No
False,False,False,False,Yes
False,True,True,False,No
True,False,True,True,No
True,False,False,True,Yes
True,True,True,False,No
True,True,True,True,No
False,False,True,False,No
True,False,False,True,Yes
True,True,False,True,Yes
True,True,False,True,Yes
False,True,True,False,No
False,False,True,False,No
True,True,False,True,Yes
True,False,False,True,Yes
False,True,True,False,No
True,True,True,True,Yes
True,False,False,True,Yes
True,True,False,True,Yes
False,True,True,False,No
False,False,False,False,Yes
False,False,True,False,No
True,False,True,True,Yes
False,True,True,False,No
True,False,False,True,Yes
False,False,True,False,No
False,False,True,False,No
False,False,True,False,No
True,False,False,True,No
False,False,True,False,No
False,False,False,False,No
False,False,True,False,No
False,True,True,False,No
True,True,True,True,Yes
True,False,False,True,Yes
True,False,True,True,No
False,False,True,False,No
False,False,True,True,No
True,True,False,True,No
True,False,True,True,Yes
False,False,True,False,No
True,True,False,True,Yes
True,False,False,True,Yes
False,False,True,False,No
True,False,False,True,Yes
False,True,False,False,No
False,False,True,False,No
False,False,True,True,Yes
True,True,True,True,Yes
True,False,False,True,Yes
False,False,False,False,No
True,True,False,True,Yes
True,False,False,True,Yes
False,False,True,False,No
False,True,True,False,No
True,True,False,True,Yes
True,False,True,True,Yes
False,True,True,False,No
False,False,True,False,No
False,False,True,False,No
False,True,True,False,No
True,False,True,True,No
True,False,True,True,No
True,True,False,True,Yes
True,False,True,True,No
True,True,False,True,Yes
False,False,False,False,Yes
True,True,True,True,Yes
False,False,True,False,No
True,True,True,True,No
True,True,False,True,Yes
False,False,False,False,No
False,True,True,False,No
False,True,False,False,No
True,False,True,True,Yes
False,True,True,False,No
True,True,False,True,Yes
False,False,True,False,Yes
False,True,False,False,No
False,False,False,False,Yes
True,True,True,True,Yes
True,False,False,True,Yes
False,True,True,False,No
False,False,False,False,Yes
True,True,False,True,Yes
False,False,True,False,No
True,False,False,True,Yes
True,True,True,True,Yes
False,False,True,False,Yes
True,False,True,True,No
False,True,True,False,No
False,False,False,False,No
True,False,True,True,Yes
False,False,True,False,No
False,False,True,False,No
False,True,False,True,Yes
False,True,False,False,Yes
False,True,False,False,No
True,False,False,True,Yes
True,True,False,True,Yes
False,True,False,False,No
False,True,True,False,No
True,True,True,True,No
True,False,False,True,Yes
True,False,False,True,Yes
True,False,True,True,Yes
True,True,False,True,Yes
True,True,True,True,Yes
False,True,True,False,Yes
True,False,False,True,Yes
True,False,True,True,Yes
True,False,False,True,Yes
True,True,False,True,Yes
True,False,True,True,No
False,False,False,False,No
False,False,False,False,Yes
False,False,True,False,No
False,True,True,False,No
False,False,False,False,No
False,False,False,False,No
False,False,True,False,Yes
True,False,True,True,Yes
True,False,True,True,Yes
True,False,True,False,No
True,False,False,False,No
True,False,True,True,No
False,True,False,False,No
True,True,True,True,No
True,False,False,True,Yes
True,False,False,True,Yes
False,False,True,False,No
False,False,True,False,No
True,True,False,True,Yes
False,True,True,False,No
False,False,True,False,No
False,False,True,False,No
False,False,False,False,No
False,True,False,True,No
True,False,False,True,Yes
False,True,False,False,Yes
True,True,True,True,No
False,True,False,False,Yes
True,True,False,True,Yes
True,True,True,True,Yes
False,True,False,False,No
False,False,False,False,No
False,True,True,False,No
False,False,True,False,No
False,False,True,False,No
False,True,True,False,No
False,True,True,False,No
False,False,True,False,No
True,True,True,True,Yes
False,True,True,False,No
False,False,False,False,No
False,True,False,False,No
True,False,False,True,Yes
True,False,False,True,Yes
True,True,True,True,Yes
True,True,True,True,No
False,False,False,False,Yes
True,False,False,True,Yes
False,False,True,False,No
True,False,False,True,Yes
True,False,True,True,Yes
False,False,False,False,No
True,True,True,True,Yes
False,True,False,False,No
False,False,False,False,Yes
True,False,False,True,Yes
